Regione,ATI14,AT14,AA14,AS14,ATOT14,ATI15,AT15,AA15,AS15,ATOT15,ATI16,AT16,AA16,AS16,ATOT16,CTI14,CRT14,CA14,CRS14,CTOT14,CTI15,CRT15,CA15,CRS15,CTOT15,CTI16,CRT16,CA16,CRS16,CTOT16,RTTI14,TATI14,TTOT14,RTTI15,TATI15,TTOT15,RTTI16,TATI16,TTOT16
MARCHE,14.6426139,63.8552402,5.7071554,9.7557332,93.9607427,27.7547788,61.8701622,4.6498701,10.0780502,104.3528614,15.6767408,68.1935959,5.5235556,9.8144002,99.2082925,27.3504351,58.3818051,3.9674517,9.8902995,99.5899914,26.7617404,56.5045306,3.5775176,10.0064741,96.8502627,23.5892812,56.6833274,3.0497126,9.6582871,92.9806083,6.0992648,1.9096822,8.008947,11.1510476,2.1008566,13.2519042,6.9914079,1.9588639,8.9502718
LAZIO,22.9183414,69.997007,4.3257324,6.2378512,103.478932,42.1296834,74.6583962,3.0321981,7.9997624,127.8200401,24.0318711,77.0006209,4.0361914,5.2018588,110.2705422,29.373382,64.2403795,2.8982441,6.07909,102.5910956,30.6201606,69.9185819,2.7229876,8.0886901,111.3504202,29.5407705,67.2245703,2.2685002,5.0395077,104.0733487,5.8188034,1.1363692,6.9551726,10.5705206,1.5100744,12.080595,6.2027976,1.4851051,7.6879027
ABRUZZO,26.4157506,69.2340504,2.8059754,9.2088169,107.6645934,38.1563473,69.5207326,1.9135249,9.4039085,118.9945133,21.8324283,76.4108607,2.6882511,8.0745534,109.0060934,34.7669571,63.8994737,2.0480697,9.2215611,109.9360615,31.882569,64.9419409,1.8624575,9.1688483,107.8558157,28.2251286,66.4034201,1.4737888,8.0428914,104.1452289,4.8660396,0.7938894,5.659929,8.7175027,0.9747862,9.692289,5.6260285,0.8315033,6.4575319
MOLISE,23.2933513,38.6972754,1.2709508,2.2050997,65.4666773,32.2197684,35.7876865,0.8425138,2.6679602,71.5179289,18.3029033,40.0542261,1.3460374,2.7273281,62.4304948,29.1111288,34.4967829,1.0580666,2.2527603,66.9187386,27.231704,33.2314232,0.7563476,2.5307326,63.7502074,22.8345624,33.1477725,0.7146817,2.7016893,59.3987059,3.5554849,0.38764,3.943125,5.4029386,0.4180655,5.8210041,3.8201822,0.3525336,4.1727158
CAMPANIA,28.2408839,37.1535435,1.7458366,8.2664888,75.4067529,39.666442,38.1681981,1.2778236,8.7543711,87.8668347,24.5557483,41.8453729,2.1253322,8.5490142,77.0754677,29.2265797,35.0990168,1.3030742,8.4673418,74.0960125,30.629892,34.8489276,1.1566948,8.7678488,75.4033632,28.3863028,36.3236111,1.0542058,8.5141475,74.2782673,3.2506156,0.3671231,3.6177388,5.526715,0.4788853,6.0056002,3.5811891,0.4759992,4.0571883
PUGLIA,23.7033484,48.6205543,2.1526717,7.1203193,81.5968937,31.5930765,46.7547899,1.5442146,7.562642,87.454723,19.450275,51.1239915,2.5287173,7.2768683,80.3798521,27.049341,45.3151458,1.6003849,7.3027035,81.2675753,26.7905103,43.2519459,1.4271027,7.2939448,78.7635036,24.30708,44.5861169,1.3087522,7.2140796,77.4160287,3.8452267,0.6696386,4.5148653,6.1414071,0.7378784,6.8792855,4.1057931,0.6946001,4.8003932
BASILICATA,22.8495948,49.2901861,1.8586043,5.9008525,79.8992377,33.9114736,60.6709109,1.345776,7.1277568,103.0559173,20.5841442,62.1760032,2.3723448,6.0223743,91.1548665,25.7645779,45.8599805,1.4021657,5.7625378,78.7892619,25.4587518,56.9336078,1.2885458,6.8589485,90.5398539,24.8372826,55.7126273,1.1277789,6.0206312,87.69832,4.0076696,0.499662,4.5073315,6.1739207,0.5913784,6.7652991,4.010849,0.5943935,4.6052425
CALABRIA,19.1019286,26.0298617,1.7389258,6.2372099,53.107926,26.1131187,25.5439685,1.2354354,6.5004546,59.3929772,16.5098469,28.9223002,1.9142146,6.4871169,53.8334786,21.5845936,24.5075442,1.5101995,6.2447836,53.847121,21.5457513,23.647307,1.3017098,6.4508753,52.9456434,20.6371817,25.5125421,1.0997092,6.4318015,53.6812346,1.9964323,0.4175644,2.4139966,3.4245137,0.5291832,3.953697,2.1420731,0.4623143,2.6043874
SICILIA,24.0075589,34.3007185,1.7968819,4.4968171,64.6019764,29.2026048,34.281276,1.3672213,4.5753405,69.4264426,19.3762205,37.4758019,2.5146519,4.6381138,64.0047881,25.8266196,32.6276851,1.5158185,4.4956395,64.4657628,25.2676706,31.744788,1.2737428,4.566896,62.8530974,23.7413882,33.2140976,1.2573259,4.5123812,62.7251929,2.3346707,0.5179652,2.8526359,3.4793248,0.553212,4.0325368,2.5741679,0.4989889,3.0731569
SARDEGNA,16.6600655,45.6937757,1.1521409,18.6554269,82.1614091,25.942622,44.8557855,0.8074378,19.8829305,91.4887758,14.7961147,51.0988832,1.0554007,20.9186449,87.8690435,22.7344985,42.2710097,0.8480286,18.2509455,84.1044824,22.2318952,41.1270221,0.6607402,19.4873281,83.5069856,20.7395283,44.5361001,0.5572516,20.4789951,86.3118751,3.6451406,0.4669867,4.1121273,5.995361,0.5200549,6.5154159,4.2457262,0.399243,4.6449692
ITALIA,20.897059,55.3627393,3.8183747,9.3438972,89.4220701,33.3284415,56.9071169,2.9827646,9.8368941,103.0552172,20.8318227,61.5790335,3.9154841,9.3052316,95.6315719,28.2470819,49.9288712,2.5424188,9.2565367,89.9749086,29.009791,51.5831143,2.3486399,9.7848016,92.7263468,27.0398929,51.7716059,2.0947803,9.1095192,90.0157983,5.5319553,1.1456391,6.6775943,9.6375541,1.4072068,11.0447609,6.2395378,1.3399697,7.5795075
